age,Dona,Home
0-1,3398457,-4127780
2-3,2268624,-2728567
4-5,2155980,-2542597
6-7,1951147,-2340106
8-9,1954177,-2386778
10-11,1896723,-2455407
12-13,1886731,-2466243
14-15,2261277,-2429177
16-17,2842850,-2411846
18-19,3107784,-2185118
20-24,8503621,-5428200
25-29,10132830,-6196318
30-34,13561687,-8272217
35-39,19040282,-12546672
40-44,26752124,-19792668
45-49,34847765,-27856834
50-54,43490752,-37005542
55-59,53240803,-48035919
60-64,62734679,-58859347
65-69,73855503,-68970907
70-74,87031884,-76112081
75-79,90292821,-70775161
80-84,87715962,-57839685
more than 84,133170027,-60815952
